dataset_id,dataset_family,publication_included,configured,publication_completed_row_count,alpha_count,method_label_count,coverage_gated_selected_cell_count,cqr_backend_paired_cell_count,public_card_path,public_card_html_path,claim_role
aif360_lawschool_gpa,aif360,true,true,2368,1,9,1,7,atlas/datasets/cards/aif360_lawschool_gpa.md,atlas/datasets/cards/aif360_lawschool_gpa.html,empirical_result_surface
aif360_lawschool_gpa_dedup,aif360,true,true,676,1,7,1,7,atlas/datasets/cards/aif360_lawschool_gpa_dedup.md,atlas/datasets/cards/aif360_lawschool_gpa_dedup.html,empirical_result_surface
college_scorecard_2026_median_earnings,college_scorecard,true,true,2772,1,10,1,7,atlas/datasets/cards/college_scorecard_2026_median_earnings.md,atlas/datasets/cards/college_scorecard_2026_median_earnings.html,empirical_result_surface
fairlearn_acs_income_wy,fairlearn,true,true,71000,5,10,5,0,atlas/datasets/cards/fairlearn_acs_income_wy.md,atlas/datasets/cards/fairlearn_acs_income_wy.html,empirical_result_surface
fairlearn_diabetes_hospital_los,fairlearn,true,true,22,1,6,1,0,atlas/datasets/cards/fairlearn_diabetes_hospital_los.md,atlas/datasets/cards/fairlearn_diabetes_hospital_los.html,empirical_result_surface
folktables_acs_poverty_ratio_wy,folktables,true,true,18,1,6,1,0,atlas/datasets/cards/folktables_acs_poverty_ratio_wy.md,atlas/datasets/cards/folktables_acs_poverty_ratio_wy.html,empirical_result_surface
folktables_acs_travel_time_wy,folktables,true,true,18,1,6,1,0,atlas/datasets/cards/folktables_acs_travel_time_wy.md,atlas/datasets/cards/folktables_acs_travel_time_wy.html,empirical_result_surface
hmda_2025_wy_interest_rate,hmda,true,true,1776,1,11,1,6,atlas/datasets/cards/hmda_2025_wy_interest_rate.md,atlas/datasets/cards/hmda_2025_wy_interest_rate.html,empirical_result_surface
meps_2023_total_expenditure,meps,true,true,2826,1,10,1,6,atlas/datasets/cards/meps_2023_total_expenditure.md,atlas/datasets/cards/meps_2023_total_expenditure.html,empirical_result_surface
nhanes_2017_2018_bmi,nhanes,true,true,5180,5,11,5,7,atlas/datasets/cards/nhanes_2017_2018_bmi.md,atlas/datasets/cards/nhanes_2017_2018_bmi.html,empirical_result_surface
