method_label,canonical_method_id,method_family,publication_result_surface,configured,row_count,dataset_count,dataset_alpha_cell_count,frontier_cell_count,coverage_eligible_interval_score_selected_cell_count,row_weighted_coverage_mean,balanced_coverage_mean,claim_status,public_card_path
cqr,cqr,quantile_conformal,true,true,15121,67,95,56,56,0.90591618471,0.910264537674,observed_practical_candidate_in_this_experiment,atlas/methods/cards/cqr.md
cqr_gb_deep_n200_d4_lr003,cqr,quantile_conformal,true,true,6,2,2,1,1,0.932387891404,0.932387891404,diagnostic_comparator,atlas/methods/cards/cqr_gb_deep_n200_d4_lr003.md
cqr_gb_default_n300_d3_lr010,cqr,quantile_conformal,true,true,6,2,2,0,0,0.93793911007,0.93793911007,diagnostic_comparator,atlas/methods/cards/cqr_gb_default_n300_d3_lr010.md
cqr_gb_leaf5_n300_d3_lr005,cqr,quantile_conformal,true,true,6,2,2,0,0,0.945962355798,0.945962355798,diagnostic_comparator,atlas/methods/cards/cqr_gb_leaf5_n300_d3_lr005.md
cqr_gb_shallow_n120_d2_lr003,cqr,quantile_conformal,true,true,6,2,2,0,0,0.926836672738,0.926836672738,diagnostic_comparator,atlas/methods/cards/cqr_gb_shallow_n120_d2_lr003.md
cqr_gb_shallow_n240_d2_lr005,cqr,quantile_conformal,true,true,6,2,2,0,0,0.91881342701,0.91881342701,diagnostic_comparator,atlas/methods/cards/cqr_gb_shallow_n240_d2_lr005.md
cqr_gb_subsample_n300_d3_lr005_sub08,cqr,quantile_conformal,true,true,6,2,2,0,0,0.954332552693,0.954332552693,diagnostic_comparator,atlas/methods/cards/cqr_gb_subsample_n300_d3_lr005_sub08.md
cqr_model_matched,cqr_model_matched,quantile_conformal,false,true,4564,,224,,71,,,backend_sensitivity_evidence,atlas/methods/cards/cqr_model_matched.md
cv_minmax,cv_minmax,cross_validation_plus,true,true,3220,12,12,2,2,0.916310577963,0.914355195818,diagnostic_comparator,atlas/methods/cards/cv_minmax.md
cv_minmax_grouped,cv_minmax,cross_validation_plus,true,true,188,1,1,1,1,0.909347190735,0.909347190735,diagnostic_comparator,atlas/methods/cards/cv_minmax_grouped.md
cv_plus,cv_plus,cross_validation_plus,true,true,13858,66,94,13,13,0.899670015315,0.888062361607,observed_practical_candidate_in_this_experiment,atlas/methods/cards/cv_plus.md
cv_plus_grouped,cv_plus,cross_validation_plus,true,true,188,1,1,0,0,0.898462398561,0.898462398561,diagnostic_comparator,atlas/methods/cards/cv_plus_grouped.md
jackknife_minmax,jackknife_plus,jackknife_plus,true,true,1378,6,6,2,2,0.930624861519,0.930448204609,diagnostic_comparator,atlas/methods/cards/jackknife_minmax.md
jackknife_plus,jackknife_plus,jackknife_plus,true,true,1379,6,6,0,0,0.888137545627,0.895465747574,diagnostic_comparator,atlas/methods/cards/jackknife_plus.md
jackknife_plus_after_bootstrap,jackknife_plus,jackknife_plus,true,true,1378,6,6,0,0,0.888443377169,0.895617229735,diagnostic_comparator,atlas/methods/cards/jackknife_plus_after_bootstrap.md
mondrian_abs,mondrian_abs,group_stratified_residual,true,true,15118,67,95,15,15,0.907277251153,0.901626847682,diagnostic_comparator,atlas/methods/cards/mondrian_abs.md
normalized_abs,normalized_abs,normalized_residual,true,true,14849,67,71,1,1,0.903189501632,0.897716490798,diagnostic_comparator,atlas/methods/cards/normalized_abs.md
shrink_0.00,shrinkage_split,shrinkage_split,true,true,7100,1,5,0,0,0.902773557688,0.902773557688,diagnostic_comparator,atlas/methods/cards/shrink_0.00.md
shrink_0.10,shrinkage_split,shrinkage_split,false,true,0,0,0,0,0,,,configured_but_not_publication_result_label,atlas/methods/cards/shrink_0.10.md
shrink_0.25,shrinkage_split,shrinkage_split,true,true,7100,1,5,0,0,0.903554221816,0.903554221816,diagnostic_comparator,atlas/methods/cards/shrink_0.25.md
shrink_0.50,shrinkage_split,shrinkage_split,true,true,7100,1,5,0,0,0.904127492113,0.904127492113,diagnostic_comparator,atlas/methods/cards/shrink_0.50.md
shrink_0.75,shrinkage_split,shrinkage_split,true,true,7100,1,5,0,0,0.904513093596,0.904513093596,diagnostic_comparator,atlas/methods/cards/shrink_0.75.md
shrink_0.90,shrinkage_split,shrinkage_split,false,true,0,0,0,0,0,,,configured_but_not_publication_result_label,atlas/methods/cards/shrink_0.90.md
shrink_1.00,shrinkage_split,shrinkage_split,true,true,7100,1,5,0,0,0.904762084805,0.904762084805,diagnostic_comparator,atlas/methods/cards/shrink_1.00.md
split_abs,split_abs,split_conformal,true,true,14852,67,71,0,0,0.905079839525,0.899749750261,diagnostic_comparator,atlas/methods/cards/split_abs.md
split_tail_0.25,split_tail,split_conformal,true,true,4564,16,16,1,1,0.905711167252,0.906012898158,diagnostic_comparator,atlas/methods/cards/split_tail_0.25.md
split_tail_0.50,split_tail,split_conformal,true,true,4564,16,16,1,1,0.904529322779,0.903611524409,diagnostic_comparator,atlas/methods/cards/split_tail_0.50.md
split_tail_0.75,split_tail,split_conformal,true,true,4564,16,16,0,0,0.902930855263,0.901507997542,diagnostic_comparator,atlas/methods/cards/split_tail_0.75.md
split_tail_grid_shortest,split_tail,split_conformal,false,true,0,0,0,0,0,,,configured_but_not_publication_result_label,atlas/methods/cards/split_tail_grid_shortest.md
venn_abers_quantile,venn_abers_bridge,venn_abers_or_inductive_distributional_bridge,true,true,7743,66,66,0,0,0.650286919106,0.640778954087,bridge_specific_negative_or_diagnostic_evidence,atlas/methods/cards/venn_abers_quantile.md
venn_abers_split_fallback,venn_abers_bridge,venn_abers_or_inductive_distributional_bridge,true,true,7338,31,31,2,2,0.91053268417,0.910623223417,bridge_specific_negative_or_diagnostic_evidence,atlas/methods/cards/venn_abers_split_fallback.md
weighted_abs_covariate_shift,weighted_abs_covariate_shift,other_conformal,true,true,1,1,1,0,0,0.925,0.925,diagnostic_comparator,atlas/methods/cards/weighted_abs_covariate_shift.md
