dataset_id,dataset_family,alpha,method_label,method_family,candidate_status,coverage_mean,coverage_margin_mean,mean_width_mean,interval_score_mean,row_count,selection_term,selection_status
aif360_lawschool_gpa,aif360,0.1,cv_minmax_grouped,cross_validation_plus,nominal_mean,0.909347190735,0.00934719073478,3.17051634337,3.8563957548,188,coverage-eligible interval-score selected cell,selected_under_coverage_gate
aif360_lawschool_gpa_dedup,aif360,0.1,cqr,quantile_conformal,nominal_mean,0.902475980746,0.00247598074562,3.10454905342,3.82765336197,97,coverage-eligible interval-score selected cell,selected_under_coverage_gate
college_scorecard_2026_median_earnings,college_scorecard,0.1,cv_plus,cross_validation_plus,near_nominal_mean,0.893846761511,-0.00615323848919,22112.9938999,34089.5432045,3,coverage-eligible interval-score selected cell,selected_under_coverage_gate
fairlearn_acs_income_wy,fairlearn,0.01,cqr,quantile_conformal,nominal_mean,0.991189493203,0.00118949320251,623355.875915,745883.47945,1420,coverage-eligible interval-score selected cell,selected_under_coverage_gate
fairlearn_acs_income_wy,fairlearn,0.05,cqr,quantile_conformal,nominal_mean,0.951946755852,0.00194675585184,175397.563709,297791.815927,1420,coverage-eligible interval-score selected cell,selected_under_coverage_gate
fairlearn_acs_income_wy,fairlearn,0.1,cqr,quantile_conformal,nominal_mean,0.900229967411,0.000229967410692,108655.585195,209203.671364,1420,coverage-eligible interval-score selected cell,selected_under_coverage_gate
fairlearn_acs_income_wy,fairlearn,0.15,cqr,quantile_conformal,nominal_mean,0.853407524251,0.00340752425062,86406.9975454,169542.808169,1420,coverage-eligible interval-score selected cell,selected_under_coverage_gate
fairlearn_acs_income_wy,fairlearn,0.2,cqr,quantile_conformal,nominal_mean,0.802417215333,0.00241721533337,72170.689582,146602.96631,1420,coverage-eligible interval-score selected cell,selected_under_coverage_gate
fairlearn_diabetes_hospital_los,fairlearn,0.1,cqr,quantile_conformal,nominal_mean,0.946677147817,0.046677147817,7.78394250048,9.42674126338,3,coverage-eligible interval-score selected cell,selected_under_coverage_gate
folktables_acs_poverty_ratio_wy,folktables,0.1,cqr,quantile_conformal,nominal_mean,0.931293129313,0.0312931293129,380.48816708,441.853701806,3,coverage-eligible interval-score selected cell,selected_under_coverage_gate
folktables_acs_travel_time_wy,folktables,0.1,cqr,quantile_conformal,nominal_mean,0.915006640106,0.0150066401062,48.2838651825,72.3439706593,3,coverage-eligible interval-score selected cell,selected_under_coverage_gate
